timestamp,level,source,message,anomaly_score,is_anomaly
2026-06-01 03:12:26.000000,ERROR,auth-service,failed login attempt for user 4471 — invalid password,100.0,True
2026-06-02 00:48:15.000000,WARN,web-frontend,GET /api/v1/products status=200,99.46,True
2026-06-01 03:12:24.000000,ERROR,auth-service,failed login attempt for user 4471 — invalid password,95.19,True
2026-06-01 03:12:22.000000,ERROR,auth-service,failed login attempt for user 4471 — invalid password,90.67,True
2026-06-01 03:12:20.000000,ERROR,auth-service,failed login attempt for user 4471 — invalid password,87.66,True
2026-06-02 03:02:52.000000,INFO,auth-service,user 7368 logged in,85.25,True
2026-06-01 03:12:00.000000,ERROR,auth-service,failed login attempt for user 4471 — invalid password,85.08,True
2026-06-01 03:12:18.000000,ERROR,auth-service,failed login attempt for user 4471 — invalid password,84.16,True
2026-06-01 17:12:16.000000,INFO,db-primary,cache hit for key session:1289,81.27,True
2026-06-01 16:43:33.000000,INFO,auth-service,scheduled health check passed,80.2,True
2026-06-02 00:27:19.000000,INFO,db-primary,connection pool at 42% capacity,79.59,True
2026-06-01 03:12:16.000000,ERROR,auth-service,failed login attempt for user 4471 — invalid password,79.42,True
2026-06-01 03:12:02.000000,ERROR,auth-service,failed login attempt for user 4471 — invalid password,77.88,True
2026-06-01 03:12:14.000000,ERROR,auth-service,failed login attempt for user 4471 — invalid password,75.9,True
2026-06-01 03:12:04.000000,ERROR,auth-service,failed login attempt for user 4471 — invalid password,74.01,True
2026-06-01 03:12:08.000000,ERROR,auth-service,failed login attempt for user 4471 — invalid password,73.66,True
2026-06-01 03:12:12.000000,ERROR,auth-service,failed login attempt for user 4471 — invalid password,73.42,True
2026-06-01 03:12:10.000000,ERROR,auth-service,failed login attempt for user 4471 — invalid password,73.08,True
2026-06-01 03:12:06.000000,ERROR,auth-service,failed login attempt for user 4471 — invalid password,72.83,True
2026-06-01 11:58:15.775040,ERROR,api-gateway,unauthorized access attempt to /admin/config,71.71,True
2026-06-01 20:04:00.000000,INFO,db-primary,user 5223 logged out,69.32,True
2026-06-01 15:14:00.000000,INFO,payment-service,GET /api/v1/products status=200,68.37,True
2026-06-01 22:17:36.000000,INFO,db-primary,user 1770 logged in,67.04,True
2026-06-01 15:37:31.660313,ERROR,api-gateway,"unexpected process termination, signal=SIGSEGV",63.92,True
2026-06-01 05:41:59.688930,ERROR,payment-service,unauthorized access attempt to /admin/config,63.59,True
